SKU,Product name,Description & Features,Selling Price,Brand,Category
TIDLI426981,Compact Brushless Cordless Impact Drill,"Brushless motor
Voltage: 42V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 69Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Include:
47 Pcs accessories
3 Pcs masonry drill bits(4mm,5mm,6mm)
2 Pcs 150mm Impact screwdriver bits(PH2)
1 Pcs 2.0Ah battery pack(TFBLI42201)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",30900,TOTAL,Power Tools
TIDLI429982,Brushless cordless impact drill,"Brushless motor
Voltage: 42V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 99Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
LED battery power indicator
Include:
3 Pcs wood flat drill bits(16.19.22mm)
3 Pcs masonry drill bits(5.6.8mm)
3 Pcs HSS drill bits(4.5.6mm)
2 Pcs 65mm impact screwdriver bits(PH2+PH2,PH2+SL6)
2 Pcs 150mm Impact screwdriver bits(PH2)
1 Pcs Countersink bit
3 Pcs 48mm magnetic nuts(6,8,10mm)
2 Pcs 2.0Ah battery pack(TFBLI42201)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",47500,TOTAL,Power Tools
TIWLI42461,Cordless impact wrench,"Brushless motor
Voltage: 42V
Square drive: 1/2""
No-load speed: 0-1600/0-1900/0-2300rpm
Impact rate: 0-2100/0-2500/0-2900bpm
Fastening torque: 460Nm
Nut-Busting torque: 600Nm
Include:
5 Pcs sockets(14,15,17,19,21mm)
1 Pcs 1/2"" square driver to 1/4"" hex
2 Pcs screwdriver bits
1 Pcs battery pack(TFBLI42201)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",34900,TOTAL,Power Tools
TIWLI42602,Cordless impact wrench,"Brushless motor
Voltage: 42V
Square drive: 1/2""
No-load speed: 0-1700/0-2100/0-2300rpm
Impact rate: 0-2400/0-2800/0-3300bpm
Fastening torque: 600Nm
Nut-Busting torque: 750Nm
Integrated LED work light
Include:
Include:
1 Pcs belt clip
7 Pcs sockets(14,15,17,19,21,22,24mm)
1 Pcs 1/2"" square driver to 1/4"" hex
2 Pcs screwdriver bits
2 Pcs battery pack(TFBLI42201)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",48000,TOTAL,Power Tools
TAGLI4128102,Cordless angle grinder,"Brushless Motor
Voltage:42V
Max input power: 1280W
No-load speed:3000/6500/10000rpm
Disc diameter:100mm
Spindle thread:M10
Include:
1 Set abrasive metal cutting disc(25 Pcs)
3 Pcs flap disc(P40/P60/P80)
1 Pcs ultrathin diamond disc
2 Pcs 2.5Ah battery pack(TFBLI42251)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz
Packed by carrying case",48000,TOTAL,Power Tools
TRHLI422682,Cordless rotary hammer,"Brushless motor
Voltage:42V
No-load speed:0-1100rpm
Impact rate:0-5000bpm
Impact energy:2.5J
Max.drilling capacity:
 Concrete: 26mm
 Steel: 13mm
 Wood: 30mm
SDS plus chuck system
Integrated LED work light
Include:
6 Pcs drills(6/8/10/12/14/16*160mm) 
2 Pcs chisel
2 Pcs 2.0Ah battery pack(TFBLI42201)
1 Pcs charge(TFCLI42021)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",49500,TOTAL,Power Tools
TAPLI42181,Cordless polisher,"Brushless motor
Voltage: 42V
No-load speed: 400-2500rpm
Polishing pad diameter: 180mm
Spindle thread: M14
Variable speed control
Include:
1 Pcs D-handle
1 Pcs hook&loop polishing pad
2 Pcs sponge pads
1 Pcs wool pads
1 Pcs 2.0Ah battery(TFBLI42201)
1 Pcs charge(TFCLI42021)
Charge volts: 220-240V~50/60Hz
Packed by canvas bag",40500,TOTAL,Power Tools
TSLI4218511,Cordless circular saw,"Brushless motor
Voltage: 42V
No-load speed: 4800rpm
Blade diameter: 185mm(7-1/4'')
Arbor size:20mm
Cutting capacity:
45° degree: 45mm
90° degree: 65mm
Adjustable cutting depth
Adjustable bevel cutting
Include:
2 Pcs 185mm saw blade
1 Pcs tape measure
1 Pcs 2.5Ah battery pack(TFBLI42251)
1 Pcs charger(TFCLI42021)
Charge volts:220-240V~50/60Hz
Packed by color box",44900,TOTAL,Power Tools
TFBCPM20221,Lithium-Ion battery and charger kit,"Voltage: 42V
With 2pcs lithium-ion battery pack(TFBLI42201)
With 1pcs charger(TFCLI42021)
Lithium-ion battery pack(TFBLI42201):
Lithium-ion 2.0Ah battery
LED battery power indicator
One battery fits all P42M multiple tools
P42M battery charger(TFCLI42021):
Input voltage:220-240V~50/60Hz 
Output voltage:42V
Output current:2A
Packed by double blister",28900,TOTAL,Batteries & Chargers
TFBCPM25221,Lithium-Ion battery and charger kit,"Voltage: 42V
With 2pcs lithium-ion battery pack(TFBLI42251)
With 1pcs charger(TFCLI42021)
Lithium-ion battery pack(TFBLI42251):
Lithium-ion 2.5Ah battery
LED battery power indicator
One battery fits all P42M multiple tools
P42M battery charger(TFCLI42021):
Input voltage:220-240V~50/60Hz 
Output voltage:42V
Output current:2A
Packed by double blister",33500,TOTAL,Batteries & Chargers
